,wine_id,wine_name,wine_avg_rating,wine_ratings_count,vintages_number,average_price
143,10922,Hermitage La Chapelle Rouge,4.3,15298,1,310.0
144,87674,Bolgheri Superiore,4.3,14242,2,221.88
145,5261,Chateau Buena Vista Cabernet Sauvignon Napa Valley,4.3,13415,1,61.95
146,1203557,Barolo Riserva,4.3,12663,1,470.0
147,1153456,Gran Malbec (X),4.3,12579,1,56.9
148,1803078,Esporão Private Selection Tinto,4.3,12566,1,74.95
149,1166231,Oreno Toscana,4.3,12407,1,146.25
150,77462,Cepparello Red,4.3,12191,2,169.38
151,95444,Pomerol,4.3,11885,1,762.0
152,1251730,Reserva Ribera del Duero,4.3,11233,1,39.55
153,1173140,San Vicente Rioja,4.3,10701,1,49.95
154,1604635,Saint-Émilion Grand Cru (Premier Grand Cru Classé),4.3,10699,1,287.5
155,16504,Malbec,4.2,33640,1,25.99
156,1168278,Margaux (Grand Cru Classé),4.2,15699,1,66.19
157,18017,Châteauneuf-du-Pape,4.2,13917,1,44.65
158,1269657,Bolgheri Superiore Sondraia,4.2,12843,1,91.3
159,18555,Pomerol,4.2,11645,1,155.0
160,13969,Montepulciano d'Abruzzo,4.2,10110,2,316.88
